,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Married,MaritalStatus_Single,CouponPerOrder
0,1,4,3,6,3,3,2,9,1,11,1,5,160,0,1,0,1,0,1,0,0,1,0,0,1,1.0
1,1,10,1,8,3,4,3,7,1,15,1,0,121,0,1,0,0,0,0,1,0,0,1,0,1,0.0
2,1,10,1,30,2,4,3,6,1,14,1,3,120,0,1,0,1,0,0,1,0,0,1,0,1,0.0
3,1,0,3,15,2,4,5,8,0,23,1,3,134,0,1,0,1,0,0,1,0,1,0,0,1,0.0
4,1,0,1,12,2,3,5,3,0,11,1,3,130,0,1,1,0,0,0,1,0,0,1,0,1,1.0
5,1,0,1,22,3,5,5,2,1,22,6,7,139,1,0,0,1,0,1,0,0,0,1,0,1,0.6666666666666666
6,1,10,3,11,2,3,2,4,0,14,1,0,121,0,1,0,0,0,0,1,0,1,0,0,0,0.0
7,1,10,1,6,3,3,2,3,1,16,2,0,123,0,1,1,0,0,0,1,0,0,1,0,0,1.0
8,1,13,3,9,2,4,3,2,1,14,1,2,127,0,1,0,0,1,0,1,0,0,1,0,0,0.0
9,1,10,1,31,2,5,3,2,0,12,1,1,123,0,1,0,1,0,0,1,0,0,1,0,1,1.0
10,1,4,1,18,2,3,3,2,0,15,15,8,295,0,1,0,0,0,1,0,0,0,0,0,0,0.6
11,1,11,1,6,3,4,3,10,1,13,1,0,154,0,1,0,1,0,0,1,1,0,0,0,1,0.0
12,1,0,1,11,2,3,3,2,1,13,2,2,134,0,1,0,0,0,0,1,0,0,1,0,1,1.0
13,1,0,1,15,3,4,3,1,1,17,1,0,134,0,1,1,0,0,0,1,0,0,1,0,0,0.0
14,1,9,3,15,3,4,2,2,0,16,4,7,196,0,1,1,0,0,0,1,1,0,0,0,1,0.0
15,1,10,2,12,3,3,5,5,1,22,1,2,121,0,1,0,0,0,0,1,0,0,1,1,0,1.0
16,1,0,1,12,2,4,2,2,1,18,1,0,129,1,0,0,1,0,1,0,0,0,1,0,1,1.0
17,1,0,3,11,2,4,3,2,1,11,1,3,157,0,1,0,0,1,0,1,0,1,0,0,1,1.0
18,1,0,1,13,3,5,3,2,1,24,1,6,161,1,0,0,1,0,0,1,0,1,0,0,1,1.0
19,1,19,1,20,3,3,4,10,1,18,4,3,150,0,1,0,1,0,1,0,0,0,1,0,0,0.25
20,1,0,3,12,3,5,3,5,1,18,7,7,162,0,1,0,1,0,0,1,0,1,0,0,0,0.8571428571428571
21,1,20,1,29,3,3,2,2,0,12,15,6,203,0,1,1,0,0,1,0,1,0,0,0,0,0.7333333333333333
22,1,10,3,28,2,3,3,2,1,19,1,0,117,0,1,0,0,1,0,1,0,0,1,0,1,0.0
23,1,0,3,26,3,5,3,4,1,11,2,2,146,0,1,0,1,0,1,0,0,1,0,0,0,0.5
24,1,14,1,14,2,5,2,3,0,15,1,3,207,1,0,0,1,0,0,1,1,0,0,0,1,0.0
25,1,0,1,15,2,3,5,8,0,22,1,4,142,0,1,1,0,0,1,0,0,0,1,0,1,1.0
26,0,8,3,6,3,3,4,2,0,13,1,6,173,0,1,0,0,1,0,1,1,0,0,0,0,1.0
27,0,10,3,12,2,3,3,3,1,20,4,5,123,0,1,0,0,1,0,1,0,1,0,0,0,0.0
28,0,5,3,14,2,3,2,2,0,14,3,7,190,1,0,0,0,1,1,0,1,0,0,0,1,0.6666666666666666
29,0,2,1,6,2,3,3,2,0,13,1,9,143,1,0,0,0,0,0,1,0,1,0,0,0,0.0
30,0,0,1,13,2,4,3,3,0,17,1,0,161,0,1,1,0,0,0,1,0,1,0,0,0,1.0
31,0,30,1,15,3,4,4,5,1,20,1,0,133,0,1,1,0,0,1,0,0,0,1,0,0,1.0
32,0,13,3,10,3,4,2,8,0,11,2,11,209,0,1,0,0,1,0,1,1,0,0,0,0,1.0
33,0,10,3,8,3,3,3,7,0,18,1,2,122,1,0,0,0,1,1,0,0,0,1,0,0,1.0
34,0,0,1,15,3,3,2,2,0,24,2,2,123,0,1,1,0,0,0,1,0,0,1,0,0,0.0
35,0,10,1,15,2,3,4,7,0,18,2,2,120,1,0,1,0,0,0,1,0,0,1,1,0,0.0
36,0,1,1,27,2,3,2,2,0,11,1,2,127,0,1,1,0,0,0,1,0,0,1,0,0,0.0
37,0,30,1,30,2,2,2,4,1,16,1,4,194,0,1,0,1,0,0,1,1,0,0,1,0,1.0
38,0,0,1,15,3,4,3,2,1,15,1,1,126,1,0,1,0,0,0,1,0,0,1,1,0,0.0
39,0,23,1,17,2,3,4,4,0,15,4,4,299,0,1,0,1,0,1,0,0,0,0,0,1,0.5
40,0,14,1,15,2,3,3,5,0,12,1,8,125,0,1,0,1,0,0,1,0,0,1,1,0,1.0
41,0,3,3,11,2,3,2,3,0,12,7,4,194,0,1,0,1,0,1,0,1,0,0,0,0,0.2857142857142857
42,0,11,3,6,2,4,2,5,0,22,1,1,187,0,1,0,1,0,1,0,0,1,0,0,1,1.0
43,0,5,1,12,2,3,3,4,0,20,1,4,130,0,1,0,1,0,0,1,0,0,1,0,1,0.0
44,0,0,1,23,2,3,4,1,1,16,1,1,131,0,1,0,0,0,0,1,0,0,1,0,0,1.0
45,1,0,3,15,3,5,5,1,0,21,1,0,123,1,0,0,0,0,1,0,0,0,1,0,1,1.0
46,0,10,1,9,1,3,4,5,0,12,7,2,121,1,0,1,0,0,0,1,0,0,1,0,1,0.5714285714285714
47,0,3,1,15,2,3,5,2,0,11,6,10,131,1,0,1,0,0,0,1,0,1,0,1,0,0.0
48,0,18,3,10,1,3,5,5,1,11,1,3,150,0,1,0,1,0,1,0,0,1,0,1,0,0.0
